method,fine,levels,vertices,triangles,success,iterations,residual,setup_seconds,solve_seconds,l1,l2,linf,exit_code
mg-v,2,2,525,967,1,8,7.6370834804326524e-11,0.001270209,0.005634875,0.001047561381991986,0.001542987299757388,0.0059331357852622224,0
mg-w,2,2,525,967,1,8,7.637077999114356e-11,0.001294125,0.010832541,0.0010475613819919947,0.0015429872997574047,0.0059331357852624445,0
gs,2,1,525,967,1,625,9.8719154491440564e-11,0.000278917,0.003111916,0.0010475613818389264,0.0015429872962404636,0.0059331356456338025,0
pcg-gs,2,1,525,967,1,40,1.1891407159658985e-11,0.0002765,0.000276125,0.0010475613812107676,0.0015429872973443254,0.0059331357587352196,0
pcg-mg-v,2,2,525,967,1,6,9.4469255765699988e-12,0.00119875,0.00409275,0.001047561380709165,0.0015429872970414923,0.0059331357595712175,0
mg-v,3,3,1989,3816,1,9,1.1094133149954294e-11,0.005618125,0.007780917,0.00026016045275347284,0.00036858269923762944,0.0019121049686707803,0
mg-w,3,3,1989,3816,1,8,1.0529398902921542e-11,0.005981917,0.022650459,0.00026016045244054602,0.000368582698801122,0.001912104969296613,0
gs,3,1,1989,3816,0,2000,2.4890577663318141e-09,0.000984958,0.047280833,0.00026016071350397585,0.00036858300111285381,0.0019120980015676636,1
pcg-gs,3,1,1989,3816,1,77,2.3162277988647714e-12,0.001009375,0.002359416,0.00026016045243368015,0.00036858269877011843,0.0019121049698106463,0
pcg-mg-v,3,3,1989,3816,1,7,2.0299098273815158e-13,0.005668042,0.006223667,0.0002601604524431763,0.00036858269879030481,0.0019121049694675873,0
mg-v,4,4,7813,15314,1,9,1.100718971994543e-11,0.023423833,0.016779084,6.712805809453645e-05,9.4098226036580504e-05,0.00057621472799440632,0
mg-w,4,4,7813,15314,1,7,8.7817188296748737e-11,0.023474125,0.047222042,6.7128057760361881e-05,9.4098225499670971e-05,0.000576214728883917,0
gs,4,1,7813,15314,0,2000,9.3122034854933142e-05,0.003937375,0.26085125,0.00023033119400956724,0.00030521188940152357,0.0010767594322806939,1
pcg-gs,4,1,7813,15314,1,153,8.4460678270149077e-13,0.004065125,0.024098625,6.7128057691239683e-05,9.4098225420897544e-05,0.00057621473182878358,0
pcg-mg-v,4,4,7813,15314,1,7,1.3366553582625074e-13,0.024352583,0.013612042,6.7128057699228003e-05,9.4098225430756818e-05,0.00057621473237801091,0
mg-v,5,5,30873,61100,1,9,8.5593053167695573e-12,0.097323708,0.05334875,1.7239607661412513e-05,2.384073352176902e-05,0.00014178536534470432,0
mg-w,5,5,30873,61100,1,7,4.4015131516804573e-11,0.094031917,0.11949525,1.7239607255524174e-05,2.3840732936497808e-05,0.00014178536583253631,0
gs,5,1,30873,61100,0,2000,0.018910963512533834,0.016253542,1.19926275,0.04294672910567051,0.053245448939919851,0.10914607990301972,1
pcg-gs,5,1,30873,61100,1,301,2.9084624745891971e-13,0.016918459,0.211979209,1.723960721490002e-05,2.3840732910015228e-05,0.0001417853661450641,0
pcg-mg-v,5,5,30873,61100,1,7,6.0024691882547781e-14,0.09798575,0.044267292,1.7239607236007634e-05,2.3840732905554123e-05,0.00014178536557152288,0
mg-v,6,6,127786,254212,1,8,7.5255209035763607e-11,0.413943625,0.205993458,4.1818310000033713e-06,5.8075925283472667e-06,3.9203030880563539e-05,0
mg-w,6,6,127786,254212,1,7,2.9682680921607923e-11,0.427470583,0.368222959,4.1818236425491801e-06,5.807582168488676e-06,3.920301468052223e-05,0
gs,6,1,127786,254212,0,2000,0.050814129738981882,0.138383792,5.39069858,0.23622543962724327,0.29213092235272775,0.58562806237793219,1
pcg-gs,6,1,127786,254212,1,623,6.0838364326754341e-14,0.078543958,1.90789821,4.1818236358273867e-06,5.8075821591039033e-06,3.9203013944555387e-05,0
pcg-mg-v,6,6,127786,254212,1,7,3.7156885826205601e-14,0.429083458,0.181093667,4.1818236371883806e-06,5.8075821583957727e-06,3.9203013723176916e-05,0
mg-v,7,7,511082,1019511,1,8,4.9026139051796859e-11,1.78124071,0.803224958,1.0564256764794841e-06,1.4631118115951546e-06,1.1497572775520659e-05,0
mg-w,7,7,511082,1019511,1,7,1.2596229263765153e-11,1.76262996,1.30345567,1.0564185328756786e-06,1.4631014647484983e-06,1.1497479859845505e-05,0
gs,7,1,511082,1019511,0,2000,0.037924458441780953,0.370630917,23.1851518,0.35406295895954537,0.43724794841104753,0.87632514626775859,1
pcg-gs,7,1,511082,1019511,1,1188,1.8513788736666697e-14,0.373280459,15.7512341,1.0564185362839386e-06,1.4631014613479045e-06,1.1497479682098799e-05,0
pcg-mg-v,7,7,511082,1019511,1,7,1.4025362842707249e-14,1.76118517,0.76592325,1.0564185321171295e-06,1.4631014631514481e-06,1.1497479744049244e-05,0
mg-v,8,8,2184494,4363202,1,8,3.0545262420207621e-11,7.82367767,3.93836958,2.4617692787035644e-07,3.4087252749193595e-07,2.7819815878737941e-06,0
mg-w,8,8,2184494,4363202,1,7,9.2171972627172662e-12,7.74259663,5.16113338,2.4616970958790862e-07,3.4086202533950905e-07,2.7821970011165931e-06,0
gs,8,1,2184494,4363202,0,2000,0.020319928923420254,1.57798675,114.628064,0.39231374864244623,0.48430615351850592,0.96965788119041674,1
pcg-gs,8,1,2184494,4363202,1,2471,4.3004143973715383e-15,1.65245867,156.63898,2.4616970273584147e-07,3.4086202604157051e-07,2.7821967614194421e-06,0
pcg-mg-v,8,8,2184494,4363202,1,8,1.7233462146598754e-16,7.71214329,4.09323642,2.4616971126882464e-07,3.40862027523488e-07,2.7821968826557963e-06,0
gs,1,1,150,256,1,205,9.4291144174602841e-11,0.000224709,0.000937209,0.004319803175529058,0.0070747215610884925,0.035256775587800493,0
